EntryId;PublicXUsername;PublicTelegramUsername;WalletMasked;PublicStatus;DrawInput
1;@natsu4810;@jveranda;0x5e17...3bec;OK;1|@natsu4810|@jveranda|0x5e17...3bec
2;@desmondwisdom12;@i_live_crypto;0xe043...49fa;OK;2|@desmondwisdom12|@i_live_crypto|0xe043...49fa
3;@johnsmithlkkd;@uncle_vdn;0x1436...b120;OK;3|@johnsmithlkkd|@uncle_vdn|0x1436...b120
4;@rafeprox1;@abcdrfeone;0x875e...971b;OK;4|@rafeprox1|@abcdrfeone|0x875e...971b
5;@ars_alili;@alrockshow;0xde5c...5f46;OK;5|@ars_alili|@alrockshow|0xde5c...5f46
6;@pgelaut;@lamneoiy;0xc5c7...9711;OK;6|@pgelaut|@lamneoiy|0xc5c7...9711
7;@setyajotwo;@galerwin;0x51ae...00c0;OK;7|@setyajotwo|@galerwin|0x51ae...00c0
8;@banitdongs;@abiyy01;0x1b72...d231;OK;8|@banitdongs|@abiyy01|0x1b72...d231
9;@asoygeboyy66;@jerengg;0xfb9f...e5ae;OK;9|@asoygeboyy66|@jerengg|0xfb9f...e5ae
10;@aboyposs3;@aboyposs3;0xa441...e3c3;OK;10|@aboyposs3|@aboyposs3|0xa441...e3c3
11;@pom_pikon;@dagbanaco;0x3396...5618;OK;11|@pom_pikon|@dagbanaco|0x3396...5618
12;@ibrahimisa36746;@kinqpromo;0x7c4c...2e27;OK;12|@ibrahimisa36746|@kinqpromo|0x7c4c...2e27
13;@bentex01;@bentexsteven;0x3995...ee07;OK;13|@bentex01|@bentexsteven|0x3995...ee07
14;@zaynulloh;@nebula15;0xfe7a...2af5;OK;14|@zaynulloh|@nebula15|0xfe7a...2af5
15;@ceckde;@recehslayer129;0x1831...036d;OK;15|@ceckde|@recehslayer129|0x1831...036d
16;@chukwu_james0;@james4live;0x6966...bdd1;OK;16|@chukwu_james0|@james4live|0x6966...bdd1
17;@mr_pawlowski;@mr_pawlowski007;0x40b2...c4a9;OK;17|@mr_pawlowski|@mr_pawlowski007|0x40b2...c4a9
18;@mosesolari60742;@mosena09;0xa838...822f;OK;18|@mosesolari60742|@mosena09|0xa838...822f
19;@deepakjoshi751;@deepakjoshi666;0x2033...e83b;OK;19|@deepakjoshi751|@deepakjoshi666|0x2033...e83b
20;@fane_devian;@fane_devian;0xf2ec...3fea;OK;20|@fane_devian|@fane_devian|0xf2ec...3fea
21;@ozcadone_gear;@ozcadone_gear;0x6312...889f;OK;21|@ozcadone_gear|@ozcadone_gear|0x6312...889f
22;@takada_oewang;@takadawang;0x38dd...3185;OK;22|@takada_oewang|@takadawang|0x38dd...3185
23;@risal_warr;@risalwardana;0x8dfd...e7ed;OK;23|@risal_warr|@risalwardana|0x8dfd...e7ed
24;@kyra_vyasti;@kyra_vyasti;0xa2e6...c26f;OK;24|@kyra_vyasti|@kyra_vyasti|0xa2e6...c26f
25;@andrenalin_adr;@andrenalingt;0x2f82...8324;OK;25|@andrenalin_adr|@andrenalingt|0x2f82...8324
26;@kadakawacil;@kadakawacil;0x3b2f...b4d0;OK;26|@kadakawacil|@kadakawacil|0x3b2f...b4d0
27;@ryseaverey;@ryseaverey;0x9280...4475;OK;27|@ryseaverey|@ryseaverey|0x9280...4475
28;@zaii_xbt;@zackxc80;0x3dc5...698a;OK;28|@zaii_xbt|@zackxc80|0x3dc5...698a
29;@anggarad77;@ojan11;0xcaab...d6df;OK;29|@anggarad77|@ojan11|0xcaab...d6df
30;@hessennabi9997;@alexzktv;0xdd8f...5615;OK;30|@hessennabi9997|@alexzktv|0xdd8f...5615
31;@muklisbudiarto;@muklisbudi;0xf21f...539d;OK;31|@muklisbudiarto|@muklisbudi|0xf21f...539d
32;@azkadina_davira;@azkadinadv;0x2808...5c64;OK;32|@azkadina_davira|@azkadinadv|0x2808...5c64
33;@clarissarainart;@clarissarainart;0x6a8e...81ce;OK;33|@clarissarainart|@clarissarainart|0x6a8e...81ce
34;@arai_rayden;@arai_rayden;0xf940...c348;OK;34|@arai_rayden|@arai_rayden|0xf940...c348
35;@olakunmi92;@thedonshow;0xe3f9...931f;OK;35|@olakunmi92|@thedonshow|0xe3f9...931f
36;@carlies_sam;@melodymira;0xb16d...855a;OK;36|@carlies_sam|@melodymira|0xb16d...855a
37;@sumalitugi;@jaelanix11;0xb047...baa3;OK;37|@sumalitugi|@jaelanix11|0xb047...baa3
38;@garnettadurant;@garnettadurant;0x1d0c...8ff5;OK;38|@garnettadurant|@garnettadurant|0x1d0c...8ff5
39;@grendell_brixt;@grendellbrixton;0xeae2...bbe2;OK;39|@grendell_brixt|@grendellbrixton|0xeae2...bbe2
40;@hengkyxtr;@rapatarx;0x7bfc...56cd;OK;40|@hengkyxtr|@rapatarx|0x7bfc...56cd
41;@jaoatsodiq;@syakirunk;0x2c2e...ac9d;OK;41|@jaoatsodiq|@syakirunk|0x2c2e...ac9d
