"DrawRank";"WinnerStatus";"EntryId";"PublicXUsername";"PublicTelegramUsername";"WalletMasked";"PublicStatus";"DrawInput";"RandomScore"
"1";"WINNER";"45";"@ransanama";"@uraktd";"0xd030...1723";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|45|@ransanama|@uraktd|0xd030...1723";"00071b6083168e8ccd657d1f9bc6e70f62a722ef1622e22e86647fef6fbaafb8"
"2";"WINNER";"108";"@arifferdiana";"@arifferdiana";"0x5ae3...3580";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|108|@arifferdiana|@arifferdiana|0x5ae3...3580";"012f86db7d03a8cb934f2221734f690168bbeec036ca3d39153feab69cd85001"
"3";"WINNER";"143";"@murdocktho1";"@franciscomachine";"0xf29d...1d1f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|143|@murdocktho1|@franciscomachine|0xf29d...1d1f";"015a6400bc2aa62b867de6ab8f872bc2ee92f5d426b10828ed2e0f329e31ded4"
"4";"WINNER";"140";"@deviantcorp99";"@deviantcorp99";"0x773a...96b6";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|140|@deviantcorp99|@deviantcorp99|0x773a...96b6";"018de186a95b30e1d957da02769b7b4baa855730552018ddb1b6ff6e544dd689"
"5";"WINNER";"171";"@maaddalaa";"@ravelamadala";"0x366b...e967";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|171|@maaddalaa|@ravelamadala|0x366b...e967";"03b0579d29e16db09a1f39d591329447b213c5ec3e496d8165da758386bd813e"
"6";"WINNER";"87";"@obehsunday44178";"@happinessml";"0xb14b...87bf";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|87|@obehsunday44178|@happinessml|0xb14b...87bf";"03d5b2a6bcf2ebcc9df21bcecdae118b8b0db2585ea596929b5e7e2feed42c54"
"7";"WINNER";"44";"@bismillahcuanx";"@bismillahcuanx";"0xa0fb...7410";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|44|@bismillahcuanx|@bismillahcuanx|0xa0fb...7410";"04a10030a5d56c09fb007de4bbf3972c69e9d8cf192b8f529c19883f737afa97"
"8";"WINNER";"81";"@delben096";"@aybenzy";"0xda1a...c33d";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|81|@delben096|@aybenzy|0xda1a...c33d";"0717203b8b19b640359a2f14f67bd21027adc44e4dbeeb8c4716b7d46afd1efb"
"9";"WINNER";"235";"@ovywidya";"@zerra1993";"0xb714...9191";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|235|@ovywidya|@zerra1993|0xb714...9191";"07ed6a671b16b2249abd11af0a5e6dd2dafc28234f4be25999dbb47aa7377cc5"
"10";"WINNER";"304";"@denisaditia15";"@denisaditia04";"0x8e58...f7eb";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|304|@denisaditia15|@denisaditia04|0x8e58...f7eb";"09c2e60c1015e3a073c1930cf7baecfb8395fdf73157166d33a52faad64cbb1a"
"11";"WINNER";"334";"@alphacointrail";"@nurfajri880";"0x0bd4...8618";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|334|@alphacointrail|@nurfajri880|0x0bd4...8618";"0a9cbf493d551db6538c0474b199c2ebdfb0bc8e815771174b6d45e1c3cf19ec"
"12";"WINNER";"226";"@dodiskrnt";"@papisola";"0x9c8d...761f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|226|@dodiskrnt|@papisola|0x9c8d...761f";"0ae94621cd5235e943a9290dbbf3b667df7541660ca91d7727bdc79a2c12c103"
"13";"WINNER";"162";"@moeyysitiloc";"@sitillimoey";"0xd589...752d";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|162|@moeyysitiloc|@sitillimoey|0xd589...752d";"0bd94394b1b5649789da41ddd1b5b3c37f479131ebe88d86547c0c0702835c0a"
"14";"WINNER";"286";"@cryptolover109";"@naim112234";"0x153f...0b9c";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|286|@cryptolover109|@naim112234|0x153f...0b9c";"0cbfbdd7c37ec3616f2f3123c190b2c5ee7e3b5da6df3c8b30714c7e67693b38"
"15";"WINNER";"327";"@0xemad52";"@emad5201";"0x91ac...ad7a";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|327|@0xemad52|@emad5201|0x91ac...ad7a";"0cea3409cf4604be88f9e3a3cc710926fadb97458889eef83b720a997bac16ca"
"16";"WINNER";"155";"@baudonewin369";"@febriramdhani";"0xce80...7250";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|155|@baudonewin369|@febriramdhani|0xce80...7250";"0d15bc7b9b23a22d1111e6622e53b919eecb30619d8532174414fc6986dcb1ab"
"17";"WINNER";"13";"@bentex01";"@bentexsteven";"0x3995...ee07";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|13|@bentex01|@bentexsteven|0x3995...ee07";"0d6227b61a44ffa2430201ee20372fa36a5ef02ba84cd59f59ee6c5108f8f40e"
"18";"WINNER";"255";"@geaveara";"@lelebesar";"0x7ce6...748c";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|255|@geaveara|@lelebesar|0x7ce6...748c";"0d744ad5a95455611c6e890c91318ab27a7753f9e1f65ae95c8d993ca6694514"
"19";"WINNER";"331";"@mokamel62839074";"@mokamel94";"0x554b...72b4";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|331|@mokamel62839074|@mokamel94|0x554b...72b4";"0df9fcfd5ce2a8dbc72b41b9de091a002ca64ff1b3b7ef842289d8ee87558eda"
"20";"WINNER";"229";"@sirfitoo";"@alfitoms";"0x36fb...5567";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|229|@sirfitoo|@alfitoms|0x36fb...5567";"0e16ccfc62ca8fdc63cb0c219bb91c6e0c23224fe219849692b75b0ab8121263"
"21";"WINNER";"36";"@carlies_sam";"@melodymira";"0xb16d...855a";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|36|@carlies_sam|@melodymira|0xb16d...855a";"10be09c2e7f0f8861130432c93f7997917d03e4a165be9866a9dc8c3b86251ce"
"22";"WINNER";"310";"@aydirkuh";"@fooorbiden";"0x773c...a60c";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|310|@aydirkuh|@fooorbiden|0x773c...a60c";"11067c1cf5320fd9c2e19617d2a27ad3f72e1abd91288940e2c3c957bad916ac"
"23";"WINNER";"22";"@takada_oewang";"@takadawang";"0x38dd...3185";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|22|@takada_oewang|@takadawang|0x38dd...3185";"1129e86e05f9bff0eb85db00f14c0002e72fcda8b1d9be7cf5a14ea05ed4f0a7"
"24";"WINNER";"154";"@suprwondrwoman";"@floriansilbereisenoffice1";"0x9a30...848b";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|154|@suprwondrwoman|@floriansilbereisenoffice1|0x9a30...848b";"11a3c88842ef83bd37e0f6c5d8db108d6cadda4117c2ecbb48c497c5ac38a6ed"
"25";"WINNER";"23";"@risal_warr";"@risalwardana";"0x8dfd...e7ed";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|23|@risal_warr|@risalwardana|0x8dfd...e7ed";"11b03f4b235b43bd43e619ab6d3f92caf78c88ba70d4a92e24790c330696de27"
"26";"WINNER";"332";"@muhaimintphp";"@muhaimintphp";"0x4845...e37c";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|332|@muhaimintphp|@muhaimintphp|0x4845...e37c";"1381ee4f90ad6f43bf1495d1c458c20c52852dbd6c06b59e6ce983f8acb3b0ea"
"27";"WINNER";"328";"@r_ria2";"@nahar768";"0x198a...2bd5";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|328|@r_ria2|@nahar768|0x198a...2bd5";"13e31af53fcfd4041e1141a6c72ea655041811feaad455c11bb22ed70070de8c"
"28";"WINNER";"100";"@olaseunny";"@luckybit1";"0x74e1...62ea";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|100|@olaseunny|@luckybit1|0x74e1...62ea";"1413ae6e3445bc450ecf4db7da72cfaf9158dd2259a401a3069196505dd52410"
"29";"WINNER";"180";"@galakoww";"@owiesigalak";"0x6164...1320";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|180|@galakoww|@owiesigalak|0x6164...1320";"14d122fa04aa5e7bca283794ef8c73e6f007495d0d2fcd67213895a6365138a6"
"30";"WINNER";"150";"@baejaw_nft";"@somebae";"0xc7cb...31e1";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|150|@baejaw_nft|@somebae|0xc7cb...31e1";"15c280d0d3f06508f9246005ac4fed763ba298e430f2786fd7bad1bb60ad99ad"
"31";"WINNER";"222";"@pratamatamz";"@kk_adt";"0x9473...e5af";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|222|@pratamatamz|@kk_adt|0x9473...e5af";"15eba7469c4267df3488b49525fb4d1b6bc35c9aac925984d7e23c371e13aa4e"
"32";"WINNER";"318";"@mirexylon";"@mirexlon";"0xaa52...6641";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|318|@mirexylon|@mirexlon|0xaa52...6641";"16a5885c17ee357b109972f0fe84479c491b8a48e24f04fdefd3436ea807fcae"
"33";"WINNER";"232";"@ryeviffjn";"@vifjrye";"0x2445...bbfa";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|232|@ryeviffjn|@vifjrye|0x2445...bbfa";"172b363f911f1200d2fdc8adac2e5d1c84c9fa86dd39fde93b9446cabf5c266b"
